date,serial_number,model,capacity_bytes,failure,smart_1_raw,smart_2_raw,smart_3_raw,smart_4_raw,smart_5_raw,smart_7_raw,smart_8_raw,smart_9_raw,smart_10_raw,smart_11_raw,smart_12_raw,smart_13_raw,smart_15_raw,smart_22_raw,smart_183_raw,smart_184_raw,smart_187_raw,smart_188_raw,smart_189_raw,smart_190_raw,smart_191_raw,smart_192_raw,smart_193_raw,smart_194_raw,smart_195_raw,smart_196_raw,smart_197_raw,smart_198_raw,smart_199_raw,smart_200_raw,smart_201_raw,smart_220_raw,smart_222_raw,smart_223_raw,smart_224_raw,smart_225_raw,smart_226_raw,smart_240_raw,smart_241_raw,smart_242_raw,smart_250_raw,smart_251_raw,smart_252_raw,smart_254_raw,smart_255_raw
2016-01-20,JK1105B8GHWJZX,Hitachi HDS722020ALA330,9.88328391275e-312,0,0,0.0,620,26,7,0.0,0.0,45637,0,,26,,,,,,,0.0,,,,1328.0,1328.0,25.0,,10.0,1,0,0,,,,,,,,,0.0,0.0,0.0,,,,,
2016-01-21,JK1105B8GHWJZX,Hitachi HDS722020ALA330,9.88328391275e-312,0,0,0.0,620,26,7,0.0,0.0,45661,0,,26,,,,,,,0.0,,,,1329.0,1329.0,25.0,,10.0,1,0,0,,,,,,,,,0.0,0.0,0.0,,,,,
2016-04-01,JK1105B8GHWJZX,Hitachi HDS722020ALA330,9.88328391275e-312,0,0,0.0,620,27,8,0.0,0.0,47363,0,,27,,,,,,,0.0,,,,1386.0,1386.0,25.0,,11.0,1,0,0,,,,,,,,,0.0,0.0,0.0,,,,,
2016-04-01,JK1105B8GHWJZX,Hitachi HDS722020ALA330,9.88328391275e-312,0,0,0.0,620,27,8,0.0,0.0,47363,0,,27,,,,,,,0.0,,,,1386.0,1386.0,25.0,,11.0,1,0,0,,,,,,,,,0.0,0.0,0.0,,,,,
2016-04-02,JK1105B8GHWJZX,Hitachi HDS722020ALA330,9.88328391275e-312,0,0,0.0,620,27,8,0.0,0.0,47388,0,,27,,,,,,,0.0,,,,1387.0,1387.0,26.0,,11.0,1,0,0,,,,,,,,,0.0,0.0,0.0,,,,,
2016-04-03,JK1105B8GHWJZX,Hitachi HDS722020ALA330,9.88328391275e-312,0,0,0.0,620,27,8,0.0,0.0,47412,0,,27,,,,,,,0.0,,,,1388.0,1388.0,25.0,,11.0,1,0,0,,,,,,,,,0.0,0.0,0.0,,,,,
2016-04-04,JK1105B8GHWJZX,Hitachi HDS722020ALA330,9.88328391275e-312,1,1,0.0,620,27,8,0.0,0.0,47435,0,,27,,,,,,,0.0,,,,1389.0,1389.0,25.0,,11.0,1,0,0,,,,,,,,,0.0,0.0,0.0,,,,,
2016-01-01,Z30305D5,ST4000DM000,1.976651427858e-311,0,76062568,,0,2,0,6.8620807e-316,,2269,0,,2,,,,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,2102.0,23.0,,,0,0,0,,,,,,,,,1.117e-320,7.0369200334e-314,2.48312769017e-313,,,,,
2016-01-01,Z30305D5,ST4000DM000,1.976651427858e-311,0,76062568,,0,2,0,6.8620807e-316,,2269,0,,2,,,,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,2102.0,23.0,,,0,0,0,,,,,,,,,1.117e-320,7.0369200334e-314,2.48312769017e-313,,,,,
2016-01-02,Z30305D5,ST4000DM000,1.976651427858e-311,0,189098792,,0,2,0,6.9358354e-316,,2293,0,,2,,,,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,2102.0,23.0,,,0,0,0,,,,,,,,,1.129e-320,7.0610224484e-314,2.5003450655e-313,,,,,
